序号,品牌ID,品牌名称,封面图URL,车型名称,官方指导价,款式数量,评分
30,10,日产,https://p3-dcd.byteimg.com/motor-img/8e074b2ea146302687d68d1e51adfb3c~tplv-f042mdwyw7-original:640:0.png,天籁,17.98万,5,3.83
31,1,大众,https://p3-dcd.byteimg.com/motor-img/8201ed0a4daa11da0ecfc31209187bde~tplv-f042mdwyw7-original:640:0.png,途观L,19.87万,10,3.84
32,425,坦克,https://p3-dcd.byteimg.com/motor-img/53d89e20ef5df0119912ecfc6db642ae~tplv-f042mdwyw7-original:640:0.png,坦克300,19.98万,4,3.86
33,2,奥迪,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/67161a339e5c4639bdcfc59d4b67efc9~tplv-f042mdwyw7-original:640:0.png,奥迪Q5L,39.75万,11,4.01
34,11,现代,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9df2036fdb244307bed69e9e03cf2368~tplv-f042mdwyw7-original:640:0.png,伊兰特,9.98万,15,3.62
35,9,本田,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9886d3b902964d73a5284eeee4f1cfa8~tplv-f042mdwyw7-original:640:0.png,皓影,18.59万,8,3.79
36,15,马自达,https://p3-dcd.byteimg.com/motor-img/2ed9950bbf60e473727cf3735528e032~tplv-f042mdwyw7-original:640:0.png,马自达3 昂克赛拉,8.99万,8,3.84
37,12,别克,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/65ca9a0988cf45e29d3c04aca829f355~tplv-f042mdwyw7-original:640:0.png,君威,15.98万,5,3.88
38,5,丰田,https://p3-dcd.byteimg.com/motor-img/d1ac1817fbc495d355e029a8b10c68f8~tplv-f042mdwyw7-original:640:0.png,RAV4荣放,17.58万,14,3.74
39,18,奇瑞,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b902804d7fc84f5e9ca12ac0d2ff0e27~tplv-f042mdwyw7-original:640:0.png,瑞虎9,15.29万,13,3.84
40,59,红旗,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c20137f882ec47cda4c0e54e82aa1f48~tplv-f042mdwyw7-original:640:0.png,红旗HS5,18.38万,5,3.79
41,9,本田,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/16a778954abf46d9bd130e5b2e32c98b~tplv-f042mdwyw7-original:640:0.png,英仕派,17.99万,8,3.87
42,12,别克,https://p3-dcd.byteimg.com/motor-img/f935e27660580af362e268ff6a476c00~tplv-f042mdwyw7-original:640:0.png,威朗,12.89万,9,3.6
43,5,丰田,https://p3-dcd.byteimg.com/motor-img/5130f932ae52503625175eb6e79aaa5a~tplv-f042mdwyw7-original:640:0.png,亚洲龙,19.98万,12,3.88
44,2,奥迪,https://p3-dcd.byteimg.com/motor-img/2d8a5201cffa633101a59b71d00fafef~tplv-f042mdwyw7-original:640:0.png,奥迪A7L,41.87万,10,4.15
45,5,丰田,https://p3-dcd.byteimg.com/motor-img/b2fb8f96191b30a2992fc05fb5af0a4c~tplv-f042mdwyw7-original:640:0.png,卡罗拉,10.98万,15,3.57
46,18,奇瑞,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/75675178bdea493bbff79c206d7276aa~tplv-f042mdwyw7-original:640:0.png,瑞虎8 PRO,12.69万,30,3.74
47,35,长安,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a86eeb4d09a3419e97f42af7cef99140~tplv-f042mdwyw7-original:640:0.png,逸动,7.29万,7,3.47
48,73,吉利汽车,https://p3-dcd.byteimg.com/motor-img/1214ac87d1a1f6dd0313f3d3d336c2eb~tplv-f042mdwyw7-original:640:0.png,博越L,12.57万,6,3.83
49,1,大众,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7af39d3a968446848f32b453d0211164~tplv-f042mdwyw7-original:640:0.png,途岳,15.86万,7,3.72
50,1,大众,https://p3-dcd.byteimg.com/motor-img/dbd8f3ffb172ce6ef271849013b14763~tplv-f042mdwyw7-original:640:0.png,宝来,11.20万,27,3.55
51,5,丰田,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f1126e1c10d7481a865e1864ae09118d~tplv-f042mdwyw7-original:640:0.png,汉兰达,26.88万,3,3.91
52,1,大众,https://p3-dcd.byteimg.com/motor-img/bc1a1cfcace04020b804932bd5c78749~tplv-f042mdwyw7-original:640:0.png,大众CC,24.99万,12,3.97
53,17,哈弗,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/99d2cc4666d54e5487bbda4ac6efe2f2~tplv-f042mdwyw7-original:640:0.png,哈弗大狗,11.99万,13,3.83
54,30,凯迪拉克,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/1effd18860ed46a9873ed3b7e2552f7b~tplv-f042mdwyw7-original:640:0.png,凯迪拉克CT6,35.97万,4,4.1
55,12,别克,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d46a7ee58b8a41ac8a6872614bd23172~tplv-f042mdwyw7-original:640:0.png,君越,17.99万,5,3.94
56,1,大众,https://p3-dcd.byteimg.com/motor-img/fa07dcebd6da68142bf78b8afc536956~tplv-f042mdwyw7-original:640:0.png,探岳,20.49万,11,3.84
57,11,现代,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f2f194412c334188ace3731595a91729~tplv-f042mdwyw7-original:640:0.png,途胜,16.18万,7,3.8
58,59,红旗,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5f5b06d03ef847f7a958927ccd791263~tplv-f042mdwyw7-original:640:0.png,红旗H6,19.28万,4,3.87
59,4,宝马,https://p3-dcd.byteimg.com/motor-img/77da976a9938b0ec5fc46615b7715e74~tplv-f042mdwyw7-original:640:0.png,宝马X3,39.96万,5,4.03
60,2,奥迪,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bed15598b2964894805e3c74db0e7e23~tplv-f042mdwyw7-original:640:0.png,奥迪A3,20.31万,26,3.8
61,73,吉利汽车,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/02331e293a0745c18554272bcedffff3~tplv-f042mdwyw7-original:640:0.png,帝豪,6.99万,4,3.55
62,4,宝马,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-f042mdwyw7-original:640:0.png,宝马X5,61.20万,2,4.22
63,1,大众,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/4fc088b811b34649b7293e1446212e1f~tplv-f042mdwyw7-original:640:0.png,高尔夫,12.98万,8,3.77
64,40,广汽传祺,https://p9-dcd.byteimg.com/motor-img/d0be756edf1c5cf4c9e6552497309e85~tplv-f042mdwyw7-original:640:0.png,影豹,9.83万,12,3.76
65,20,保时捷,https://p9-dcd.byteimg.com/motor-img/e1a023bb83282079bd42818a5f072e78~tplv-f042mdwyw7-original:640:0.png,Panamera,99.80万,13,4.36
66,5,丰田,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/39f96820a5e244b8a11ce5fae05c2006~tplv-f042mdwyw7-original:640:0.png,威兰达,17.38万,16,3.77
67,40,广汽传祺,https://p9-dcd.byteimg.com/motor-img/6e784e8e17abc04adea0d726fe51ff69~tplv-f042mdwyw7-original:640:0.png,传祺M8,17.98万,7,3.88
68,34,名爵,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/b0f952ca6faf46b1bb0fc809ab964a49~tplv-f042mdwyw7-original:640:0.png,MG7,11.98万,6,3.83
69,1,大众,https://p9-dcd.byteimg.com/motor-img/10e227cb6150184e8a7177c3ede5ea06~tplv-f042mdwyw7-original:640:0.png,途昂,29.50万,15,4
70,1,大众,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/72aad906601447f59df191ebb8522c58~tplv-f042mdwyw7-original:640:0.png,凌渡,14.39万,9,3.64
71,10,日产,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/74a5e843ff5340aea475757a258d43bb~tplv-f042mdwyw7-original:640:0.png,逍客,12.59万,7,3.61
72,3,奔驰,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/45e55189774340fea75f1e9e1478e5dd~tplv-f042mdwyw7-original:640:0.png,奔驰A级,21.48万,7,3.66
73,19,路虎,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/a6ea73a9bf884d56892ba8ad6ee2fb23~tplv-f042mdwyw7-original:640:0.png,揽胜,142.80万,5,4.38
74,18,奇瑞,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/734a4fbac7cf461293613d4f1a478e5b~tplv-f042mdwyw7-original:640:0.png,瑞虎8,9.78万,20,3.6
75,4,宝马,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c9c9c02010874036a2f03c203ca1238a~tplv-f042mdwyw7-original:640:0.png,宝马X1,28.89万,5,3.88
76,9,本田,https://p9-dcd.byteimg.com/motor-img/75fc061a24092b6aa7cca9a14f8e8a2e~tplv-f042mdwyw7-original:640:0.png,本田XR-V,11.99万,9,3.52
77,31,捷豹,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/ff4471d5fe15485abe12491dc23c2c78~tplv-f042mdwyw7-original:640:0.png,捷豹XFL,39.98万,6,4.15
78,6,雪佛兰,https://p9-dcd.byteimg.com/motor-img/8171a91a9f3017a9001e682797dc5f77~tplv-f042mdwyw7-original:640:0.png,迈锐宝XL,17.59万,10,3.85
79,6,雪佛兰,https://p9-dcd.byteimg.com/motor-img/f63e0947469ae2d9cee05bbdc33f514f~tplv-f042mdwyw7-original:640:0.png,科鲁泽,9.49万,4,3.45
80,3,奔驰,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/cac2b94176824494a151f92368f63dd3~tplv-f042mdwyw7-original:640:0.png,迈巴赫S级,146.80万,7,4.46
81,52,北京,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/440a9fd1cc1347aaaa37b6336a7680f8~tplv-f042mdwyw7-original:640:0.png,北京BJ40,15.98万,22,3.44
82,18,奇瑞,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/8080dfb256ee42caa5b66cda7e0f31c6~tplv-f042mdwyw7-original:640:0.png,瑞虎8 PLUS,11.79万,22,3.71
83,5,丰田,https://p9-dcd.byteimg.com/motor-img/58d617d55bda2d2a8aeb9b9d0e8ca823~tplv-f042mdwyw7-original:640:0.png,卡罗拉锐放,12.98万,12,3.64
84,2,奥迪,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/7de0fe10ac8a46a89be06721887fb8d3~tplv-f042mdwyw7-original:640:0.png,奥迪A7,58.98万,4,4.11
85,35,长安,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c944886785cc4dea89c3638f50c33e11~tplv-f042mdwyw7-original:640:0.png,长安CS55 PLUS,9.29万,12,3.73
86,30,凯迪拉克,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/5312e1be61924f1988aaf45a2d8bfbb0~tplv-f042mdwyw7-original:640:0.png,凯迪拉克CT4,21.97万,4,3.93
87,3,奔驰,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/2f020f74b26b4423a0b33296dd721423~tplv-f042mdwyw7-original:640:0.png,奔驰GLE,69.98万,2,4.19
88,73,吉利汽车,https://p9-dcd.byteimg.com/motor-img/d119bbcc22df849ce240cd08c329eabb~tplv-f042mdwyw7-original:640:0.png,缤越,7.58万,7,3.59
89,7,福特,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/cad5d4e17ca14279b93666d6e3164c3d~tplv-f042mdwyw7-original:640:0.png,锐界,22.98万,3,3.92
90,35,长安,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/2ea2939fb4784bddab23b2d6d5d940ef~tplv-f042mdwyw7-original:640:0.png,逸达,8.39万,5,3.46
91,1,大众,https://p3-dcd.byteimg.com/motor-img/1047df2d28b7fbef21af83a75d95ed1c~tplv-f042mdwyw7-original:640:0.png,揽巡,27.49万,4,3.93
92,15,马自达,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cd0afa2cba3f4fba8cfdac2c4417a60b~tplv-f042mdwyw7-original:640:0.png,马自达CX-5,12.58万,12,3.84
93,2,奥迪,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0f7401416e644862979317d3b0754e98~tplv-f042mdwyw7-original:640:0.png,奥迪A8,82.98万,2,4.37
94,31,捷豹,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/738f5783073047c080a6da837c236b97~tplv-f042mdwyw7-original:640:0.png,捷豹XEL,29.98万,5,3.99
95,9,本田,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/24baeca15ca34c83a4e9ceaf09de58ea~tplv-f042mdwyw7-original:640:0.png,本田HR-V,15.99万,4,3.82
96,2,奥迪,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cec6f6ed88e64f038b81185e048ebf8a~tplv-f042mdwyw7-original:640:0.png,奥迪Q3,27.98万,15,3.92
97,9,本田,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/fc979e09cc8f450c9a1dceb57d57ec05~tplv-f042mdwyw7-original:640:0.png,冠道,22.48万,9,3.8
98,174,领克,https://p3-dcd.byteimg.com/motor-img/189c2b11c6396ed5c63d9db5a57e6341~tplv-f042mdwyw7-original:640:0.png,领克06,11.86万,6,3.73
99,73,吉利汽车,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9ab4d56315ff4d8c98ee26346d40f71d~tplv-f042mdwyw7-original:640:0.png,博越,10.28万,5,3.75
100,11,现代,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4759d1d531d7489dbb01a2bad3506c6b~tplv-f042mdwyw7-original:640:0.png,现代ix35,12.18万,10,3.54
101,10,日产,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5ae572c93a99402d89bab23657b64d6e~tplv-f042mdwyw7-original:640:0.png,奇骏,17.99万,13,3.84
102,5,丰田,https://p3-dcd.byteimg.com/motor-img/7a7143dba294bfc49ff39a154e4b9ad5~tplv-f042mdwyw7-original:640:0.png,皇冠陆放,27.78万,5,3.92
103,1,大众,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a6ee19f8cb8b4ad8bab7f2b3cb0e4fa1~tplv-f042mdwyw7-original:640:0.png,Polo,9.09万,8,3.41
104,3,奔驰,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a6d8b5b53eea4e509f177b2be32faf97~tplv-f042mdwyw7-original:640:0.png,奔驰GLB,29.98万,7,3.84
105,7,福特,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/31302546ff654c8cb31296e9b85fe510~tplv-f042mdwyw7-original:640:0.png,探险者,30.98万,11,3.99
106,73,吉利汽车,https://p3-dcd.byteimg.com/motor-img/9125fbf12f1de7a3fe03d9a1c7857412~tplv-f042mdwyw7-original:640:0.png,缤瑞,8.98万,4,3.49
107,17,哈弗,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/fe308dc65e0c4b218cd26a55fc3b8728~tplv-f042mdwyw7-original:640:0.png,哈弗H5,12.28万,4,0
108,5,丰田,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4be933594d45455592d516c912d27b69~tplv-f042mdwyw7-original:640:0.png,雷凌,11.18万,14,3.54
109,62,林肯,https://p3-dcd.byteimg.com/motor-img/bcb66ab6c3d3d01477068d328fe05788~tplv-f042mdwyw7-original:640:0.png,林肯Z,25.18万,12,3.97
110,2,奥迪,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d0742ef3247846009a2b9aad77dff357~tplv-f042mdwyw7-original:640:0.png,奥迪Q7,63.28万,2,4.15
111,9,本田,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b904c6bfc5094657bbcad15af499fd16~tplv-f042mdwyw7-original:640:0.png,飞度,8.68万,5,3.47
112,20,保时捷,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3a26ccb18e0b4122bbc1ae83b5857fe3~tplv-f042mdwyw7-original:640:0.png,Cayenne,94.80万,1,4.32
113,59,红旗,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/130d0777d22c4e7aba7791c0ee645462~tplv-f042mdwyw7-original:640:0.png,红旗HS3,14.58万,4,0
114,9,本田,https://p3-dcd.byteimg.com/motor-img/8667f54bc5d28b9ee06bf37dc60cc85f~tplv-f042mdwyw7-original:640:0.png,缤智,11.99万,5,3.53
115,4,宝马,https://p3-dcd.byteimg.com/motor-img/df42521363e25dee8626c4a6cea12f8a~tplv-f042mdwyw7-original:640:0.png,宝马4系,37.39万,19,4.06
116,4,宝马,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/59e313fe48b24e95a6e56c37ae288f4c~tplv-f042mdwyw7-original:640:0.png,宝马1系,20.89万,4,3.77
117,20,保时捷,https://p3-dcd.byteimg.com/motor-img/36a5c683508cfaefe6350ced649bf34d~tplv-f042mdwyw7-original:640:0.png,保时捷911,129.80万,15,4.29
118,39,五菱汽车,https://p3-dcd.byteimg.com/motor-img/ef2d3df828e04fead57e3c86279360bd~tplv-f042mdwyw7-original:640:0.png,五菱星辰,6.88万,7,3.47
119,2,奥迪,https://p3-dcd.byteimg.com/motor-img/0e19fcd0d1606bd0eede06b5df8b6694~tplv-f042mdwyw7-original:640:0.png,奥迪A5,37.98万,8,4.02
120,40,广汽传祺,https://p3-dcd.byteimg.com/motor-img/bef1e4e3b0a6fa8de3a3887dcaaad449~tplv-f042mdwyw7-original:640:0.png,传祺GS8,18.68万,13,3.87
121,251,星途,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/fe5ba41003f242d994ad0722c4a9e34a~tplv-f042mdwyw7-original:640:0.png,星途瑶光,15.28万,10,3.89
122,7,福特,https://p9-dcd.byteimg.com/motor-img/afc56a676f2fa14ec1dff1f943016eab~tplv-f042mdwyw7-original:640:0.png,福克斯,11.98万,7,3.73
123,18,奇瑞,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/aef5212cbadd4c05a9c450eaed0813e1~tplv-f042mdwyw7-original:640:0.png,艾瑞泽5,5.99万,5,3.35
124,19,路虎,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0ff563000dca4ca3955eaecf5d0aa285~tplv-f042mdwyw7-original:640:0.png,卫士,68.80万,5,4.14
125,35,长安,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/09a8092ecee34808ae45128f9d2adb1e~tplv-f042mdwyw7-original:640:0.png,长安UNI-T,11.59万,6,3.73
126,62,林肯,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/9d39599a71b34b279c96d02bff066c3d~tplv-f042mdwyw7-original:640:0.png,冒险家,24.58万,5,3.92
127,3,奔驰,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/1d6e796b95a1415bab876b094837b5f2~tplv-f042mdwyw7-original:640:0.png,奔驰CLA,30.28万,6,3.82
128,18,奇瑞,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/93b15f0f1967433faca5cac4ef9289cd~tplv-f042mdwyw7-original:640:0.png,探索06,11.69万,6,0
129,1,大众,https://p9-dcd.byteimg.com/motor-img/83ea15115e6f0f60f15837da6dea8470~tplv-f042mdwyw7-original:640:0.png,辉昂,34.30万,3,4.03
130,62,林肯,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/db4c45d357eb479ca8ba4ed41f93fc5e~tplv-f042mdwyw7-original:640:0.png,航海家,32.88万,3,4.01
131,251,星途,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c271cffb3ca74bedaa33e218863439d4~tplv-f042mdwyw7-original:640:0.png,星途揽月,19.39万,11,3.89
132,20,保时捷,https://p9-dcd.byteimg.com/motor-img/b1cdec551b2ec5cbf21056186a9c5bff~tplv-f042mdwyw7-original:640:0.png,保时捷718,56.50万,13,3.99
133,36,荣威,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/3deaa243484f4c34a254b5c212a8ad7a~tplv-f042mdwyw7-original:640:0.png,荣威i5,6.89万,5,3.43
134,1,大众,https://p9-dcd.byteimg.com/motor-img/91b29d4761792399e15d5aac3b4bf352~tplv-f042mdwyw7-original:640:0.png,途锐,53.38万,13,4.17
135,1,大众,https://p9-dcd.byteimg.com/motor-img/1d30e0ba37d12cbaf4dd24f94569a219~tplv-f042mdwyw7-original:640:0.png,桑塔纳,8.79万,4,3.09
136,59,红旗,https://p9-dcd.byteimg.com/motor-img/78023a6567ddb717ea22b1f44fd9d4d3~tplv-f042mdwyw7-original:640:0.png,红旗H7,17.98万,4,3.77
137,20,保时捷,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/01c5c0ea584643c1a1f3d91963f9262e~tplv-f042mdwyw7-original:640:0.png,Macan,57.80万,4,4.13
138,35,长安,https://p9-dcd.byteimg.com/motor-img/810127c3c51f072dd2ea70a1a5aa09db~tplv-f042mdwyw7-original:640:0.png,长安CS35 PLUS,7.99万,3,3.49
139,21,雪铁龙,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/9552e6adc8dd4695bcec7c04ee75b191~tplv-f042mdwyw7-original:640:0.png,凡尔赛C5 X,14.37万,9,3.89
140,3,奔驰,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/40dae881caa44a8f961a9478b67c8dda~tplv-f042mdwyw7-original:640:0.png,奔驰G级,142.48万,3,4.33
141,15,马自达,https://p9-dcd.byteimg.com/motor-img/23dae7287112eed1cb699aa22646497f~tplv-f042mdwyw7-original:640:0.png,阿特兹,17.58万,6,3.93
142,35,长安,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/9de8acc8f08f4cd1a2304ab38d65fa46~tplv-f042mdwyw7-original:640:0.png,长安UNI-K,15.49万,9,3.8
143,119,长安欧尚,https://p9-dcd.byteimg.com/motor-img/72734bc7e08184f5ee36722ce8b52597~tplv-f042mdwyw7-original:640:0.png,长安欧尚X5,7.59万,10,3.61
144,40,广汽传祺,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0d580559172745108aaaa3b7e2aa8a18~tplv-f042mdwyw7-original:640:0.png,传祺GS4,8.98万,12,3.65
145,119,长安欧尚,https://p9-dcd.byteimg.com/motor-img/252d100a630cf9298e8d357fe7ee8ffc~tplv-f042mdwyw7-original:640:0.png,长安欧尚Z6,9.99万,8,3.66
146,61,标致,https://p9-dcd.byteimg.com/motor-img/e734863947662cd987a9be96b479f828~tplv-f042mdwyw7-original:640:0.png,标致408,10.57万,4,3.69
147,1,大众,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/e14ccc42e68c4f239d6be4af52e2995f~tplv-f042mdwyw7-original:640:0.png,揽境,29.99万,24,3.96
